iter	Logloss
0	0.613347018
1	0.5450254365
2	0.4746139083
3	0.415062322
4	0.3678332825
5	0.3324873475
6	0.3086702207
7	0.2905148312
8	0.2603537258
9	0.2433574364
10	0.2270860321
11	0.209416752
12	0.1968805873
13	0.1855081967
14	0.1759014741
15	0.1681040631
16	0.1617911698
17	0.1565484672
18	0.1522058162
19	0.1486981489
20	0.1459029065
21	0.1432971428
22	0.1411107685
23	0.1389816724
24	0.137185077
25	0.1357939614
26	0.1342524408
27	0.1330132621
28	0.131885828
29	0.1308374868
30	0.1300986669
31	0.1292057301
32	0.1283723433
33	0.1277778718
34	0.1251890222
35	0.1247697538
36	0.124311914
37	0.1237734667
38	0.1233685548
39	0.122957626
40	0.1225062602
41	0.122090493
42	0.1217684251
43	0.1214499407
44	0.1211647794
45	0.1209608384
46	0.1196171245
47	0.1184666447
48	0.1176903906
49	0.117417948
50	0.1171170728
51	0.1169534734
52	0.1168019332
53	0.11618277
54	0.115902484
55	0.1157102905
56	0.1155450106
57	0.115035276
58	0.1148870272
59	0.1147510019
60	0.1145206324
61	0.1143881753
62	0.1142135927
63	0.1140722373
64	0.1139305717
65	0.1138373811
66	0.1137418754
67	0.1136016503
68	0.1132098181
69	0.1130747332
70	0.1129540792
71	0.1128476642
72	0.1126729057
73	0.1124839382
74	0.1124075491
75	0.1123126979
76	0.1119670262
77	0.1117993646
78	0.1117005226
79	0.1116027994
80	0.1114542648
81	0.1113696716
82	0.1112248383
83	0.1110465336
84	0.1109665537
85	0.1108597499
86	0.1107940157
87	0.1107354219
88	0.1106599684
89	0.1106118173
90	0.1105571957
91	0.1104669922
92	0.1103189765
93	0.110252831
94	0.110095605
95	0.1100498264
96	0.1098516828
97	0.1097150711
98	0.1096404417
99	0.1095585031
100	0.1094300763
101	0.1093789755
102	0.1093292952
103	0.1092775341
104	0.1090895653
105	0.1090167989
106	0.108970778
107	0.1088576791
108	0.108764048
109	0.1087056715
110	0.1085373668
111	0.108495405
112	0.1084535729
113	0.1083481503
114	0.1083143656
115	0.1082596934
116	0.1081974609
117	0.1081593455
118	0.1080624281
119	0.1080218911
120	0.1079833353
121	0.1079489704
122	0.1079171778
123	0.1078754614
124	0.1078427706
125	0.1078136505
126	0.1077501721
127	0.1075929145
128	0.1075688086
129	0.1075303847
130	0.1074634217
131	0.107423121
132	0.1073913698
133	0.1073653863
134	0.1073394966
135	0.1073098615
136	0.1072436057
