iter	Passed	Remaining
0	27	5471
1	54	5349
2	82	5435
3	111	5462
4	140	5496
5	171	5553
6	200	5539
7	227	5467
8	258	5483
9	284	5412
10	313	5384
11	346	5426
12	375	5406
13	405	5391
14	438	5403
15	469	5393
16	499	5379
17	530	5367
18	560	5340
19	590	5313
20	620	5284
21	652	5280
22	681	5247
23	713	5230
24	747	5229
25	775	5189
26	806	5168
27	838	5152
28	868	5120
29	898	5091
30	927	5058
31	958	5031
32	988	5003
33	1016	4964
34	1049	4947
35	1077	4909
36	1108	4885
37	1144	4878
38	1182	4883
39	1225	4902
40	1273	4939
41	1328	4998
42	1376	5024
43	1418	5029
44	1457	5019
45	1492	4997
46	1531	4984
47	1565	4958
48	1599	4929
49	1635	4907
50	1676	4896
51	1714	4878
52	1752	4860
53	1800	4868
54	1841	4853
55	1879	4834
56	1921	4820
57	1961	4802
58	1994	4767
59	2029	4735
60	2066	4708
61	2104	4684
62	2140	4654
63	2178	4629
64	2219	4610
65	2265	4598
66	2306	4579
67	2352	4565
68	2406	4568
69	2478	4603
70	2562	4655
71	2633	4682
72	2679	4661
73	2730	4649
74	2873	4788
75	2968	4844
76	3024	4831
77	3069	4801
78	3114	4770
79	3158	4737
80	3207	4712
81	3258	4688
82	3305	4659
83	3346	4621
84	3385	4580
85	3428	4544
86	3466	4502
87	3507	4464
88	3547	4424
89	3590	4388
90	3642	4362
91	3689	4331
92	3735	4297
93	3778	4260
94	3821	4223
95	3858	4180
96	3909	4151
97	3949	4110
98	3988	4068
99	4027	4027
100	4062	3982
101	4096	3935
102	4136	3895
103	4191	3868
104	4241	3837
105	4288	3802
106	4327	3761
107	4368	3721
108	4405	3678
109	4439	3632
110	4479	3591
111	4518	3550
112	4560	3510
113	4607	3475
114	4653	3439
115	4696	3400
116	4737	3360
117	4775	3318
118	4817	3279
119	4861	3240
120	4906	3203
121	4946	3162
122	4984	3120
123	5024	3079
124	5063	3037
125	5094	2991
126	5129	2948
127	5163	2904
128	5199	2861
129	5231	2817
130	5261	2771
131	5292	2726
132	5324	2682
133	5355	2638
134	5390	2595
135	5428	2554
136	5472	2516
