city,year,month,tavg,tmin,tmax,prcp,wspd,pres,n_days,n_rows,data_coverage,EHF_max,EHF_mean,ehf_thr,risk_now,risk_next,owid_surface_temp,wb_pop_density,wb_urban_pct,date,tavg_lag1,tavg_lag2,tmax_lag1,tmax_lag2,prcp_lag1,prcp_lag2,wspd_lag1,wspd_lag2,EHF_max_lag1,EHF_max_lag2,owid_surface_temp_lag1,owid_surface_temp_lag2,month_sin,month_cos,y
Faisalabad,2021,3,22.416129032258063,15.716129032258063,29.967741935483872,24.0,8.206451612903226,1011.3709677419355,31,31,1.0,-13.233333333333334,-28.707727598566304,-1.631733333333325,0,0,19.182568,310.65509677252,37.44,2021-03-01,17.6,11.316666666666666,25.789285714285715,18.740000000000002,0.7999999999999999,28.0,5.428571428571429,6.1466666666666665,-34.097777777777786,-23.633333333333333,14.380524,8.199904,1.0,6.123233995736766e-17,0
Faisalabad,2021,4,25.94333333333333,18.703333333333333,33.60666666666667,26.5,8.93,1009.4233333333334,30,30,1.0,-10.966666666666665,-18.186837037037034,-1.631733333333325,0,1,22.840286,310.65509677252,37.44,2021-04-01,22.416129032258063,17.6,29.967741935483872,25.789285714285715,24.0,0.7999999999999999,8.206451612903226,5.428571428571429,-13.233333333333334,-34.097777777777786,19.182568,14.380524,0.8660254037844387,-0.49999999999999983,1
Faisalabad,2021,5,31.551612903225806,24.13225806451613,38.82258064516129,4.3999999999999995,8.5,1003.4903225806452,31,31,1.0,0.9173333333333122,-9.509064516129026,-1.631733333333325,1,1,26.90619,310.65509677252,37.44,2021-05-01,25.94333333333333,22.416129032258063,33.60666666666667,29.967741935483872,26.5,24.0,8.93,8.206451612903226,-10.966666666666665,-13.233333333333334,22.840286,19.182568,0.49999999999999994,-0.8660254037844387,1
Faisalabad,2021,6,33.47666666666667,26.983333333333334,40.04,20.900000000000002,7.95,999.1333333333333,30,30,1.0,6.31855555555556,-2.020003703703707,-1.631733333333325,1,1,29.503977,310.65509677252,37.44,2021-06-01,31.551612903225806,25.94333333333333,38.82258064516129,33.60666666666667,4.3999999999999995,26.5,8.5,8.93,0.9173333333333122,-10.966666666666665,26.90619,22.840286,1.2246467991473532e-16,-1.0,1
Faisalabad,2021,7,32.92258064516129,28.187096774193545,37.96451612903226,53.800000000000004,8.59032258064516,997.7258064516129,31,31,1.0,0.6689999999999927,-2.70767741935484,-1.631733333333325,1,0,29.762373,310.65509677252,37.44,2021-07-01,33.47666666666667,31.551612903225806,40.04,38.82258064516129,20.900000000000002,4.3999999999999995,7.95,8.5,6.31855555555556,0.9173333333333122,29.503977,26.90619,-0.4999999999999998,-0.8660254037844388,0
Faisalabad,2021,8,32.938709677419354,27.92258064516129,38.3258064516129,32.5,7.183870967741935,1000.2741935483871,31,31,1.0,-1.922666666666656,-3.0995591397849456,-1.631733333333325,0,0,28.60943,310.65509677252,37.44,2021-08-01,32.92258064516129,33.47666666666667,37.96451612903226,40.04,53.800000000000004,20.900000000000002,8.59032258064516,7.95,0.6689999999999927,6.31855555555556,29.762373,29.503977,-0.8660254037844384,-0.5000000000000004,0
Faisalabad,2021,9,29.813333333333333,25.52,34.81666666666667,83.10000000000001,6.45,1004.7900000000001,30,30,1.0,-3.2333333333333343,-5.98777777777778,-1.631733333333325,0,0,27.409666,310.65509677252,37.44,2021-09-01,32.938709677419354,32.92258064516129,38.3258064516129,37.96451612903226,32.5,53.800000000000004,7.183870967741935,8.59032258064516,-1.922666666666656,0.6689999999999927,28.60943,29.762373,-1.0,-1.8369701987210297e-16,0
Faisalabad,2021,10,26.093548387096774,20.125806451612902,32.99677419354838,7.4,6.764516129032257,1008.7967741935485,31,31,1.0,-5.266666666666666,-9.470967741935487,-1.631733333333325,0,0,21.407038,310.65509677252,37.44,2021-10-01,29.813333333333333,32.938709677419354,34.81666666666667,38.3258064516129,83.10000000000001,32.5,6.45,7.183870967741935,-3.2333333333333343,-1.922666666666656,27.409666,28.60943,-0.8660254037844386,0.5000000000000001,0
Faisalabad,2021,11,19.21333333333333,12.5,27.46333333333333,0.2,5.986666666666666,1014.1333333333333,30,30,1.0,-12.633333333333336,-16.388888888888893,-1.631733333333325,0,0,14.923903,310.65509677252,37.44,2021-11-01,26.093548387096774,29.813333333333333,32.99677419354838,34.81666666666667,7.4,83.10000000000001,6.764516129032257,6.45,-5.266666666666666,-3.2333333333333343,21.407038,27.409666,-0.5000000000000004,0.8660254037844384,0
Faisalabad,2021,12,13.419354838709678,6.932258064516129,21.26451612903226,0.8,4.961290322580646,1019.0290322580646,31,31,1.0,-18.666666666666668,-22.21935483870968,-1.631733333333325,0,0,10.160914,310.65509677252,37.44,2021-12-01,19.21333333333333,26.093548387096774,27.46333333333333,32.99677419354838,0.2,7.4,5.986666666666666,6.764516129032257,-12.633333333333336,-5.266666666666666,14.923903,21.407038,-2.4492935982947064e-16,1.0,0
Faisalabad,2022,1,11.932258064516128,7.116129032258065,17.716129032258067,53.8,5.087096774193548,1016.6580645161291,31,31,1.0,-22.16666666666667,-24.160903225806447,-1.631733333333325,0,0,8.900854,316.133077781237,37.731,2022-01-01,13.419354838709678,19.21333333333333,21.26451612903226,27.46333333333333,0.8,0.2,4.961290322580646,5.986666666666666,-18.666666666666668,-12.633333333333336,10.160914,14.923903,0.49999999999999994,0.8660254037844387,0
Faisalabad,2022,2,15.060714285714285,8.725,22.417857142857144,28.9,6.871428571428572,1013.875,28,28,1.0,-20.266666666666666,-43.19660714285708,-1.631733333333325,0,0,12.709525,316.133077781237,37.731,2022-02-01,11.932258064516128,13.419354838709678,17.716129032258067,21.26451612903226,53.8,0.8,5.087096774193548,4.961290322580646,-22.16666666666667,-18.666666666666668,8.900854,10.160914,0.8660254037844386,0.5000000000000001,0
Faisalabad,2022,3,24.903225806451612,17.40967741935484,33.23870967741936,41.1,7.003225806451613,1010.0096774193548,31,31,1.0,-25.37033333333321,-48.79993548387092,-1.631733333333325,0,1,20.464823,316.133077781237,37.731,2022-03-01,15.060714285714285,11.932258064516128,22.417857142857144,17.716129032258067,28.9,53.8,6.871428571428572,5.087096774193548,-20.266666666666666,-22.16666666666667,12.709525,8.900854,1.0,6.123233995736766e-17,1
Faisalabad,2022,4,31.86,22.94333333333333,40.94666666666667,0.4,7.833333333333333,1004.8433333333334,30,30,1.0,-1.5195555555555444,-9.5506074074074,-1.631733333333325,1,1,25.759697,316.133077781237,37.731,2022-04-01,24.903225806451612,15.060714285714285,33.23870967741936,22.417857142857144,41.1,28.9,7.003225806451613,6.871428571428572,-25.37033333333321,-20.266666666666666,20.464823,12.709525,0.8660254037844387,-0.49999999999999983,1
Faisalabad,2022,5,34.435483870967744,27.05806451612903,42.13225806451613,8.6,9.85483870967742,999.1741935483872,31,31,1.0,4.433333333333321,-1.1696666666666682,-1.631733333333325,1,1,28.645155,316.133077781237,37.731,2022-05-01,31.86,24.903225806451612,40.94666666666667,33.23870967741936,0.4,41.1,7.833333333333333,7.003225806451613,-1.5195555555555444,-25.37033333333321,25.759697,20.464823,0.49999999999999994,-0.8660254037844387,1
