feature,mean_abs_shap
pres_mean,0.000729879253236861
wspd_mean_filled,0.00039619958349039247
wspd_mean,0.00037048427746306617
month_cos,0.00035839030833386727
month_sin,0.00031653698794495134
wind_z,0.00028310034368460557
surf_z,0.000239279918403656
hum_rh_min,0.00023232317053298762
surface_temp_avg,0.00018641558604409658
tmax_z,0.0001842129866405638
wspd_max,0.00017715780472651654
wm_prcp_scaled,0.0001767073855863889
tavg_clim,0.00015132843516023022
heat_stress_index,0.00014876800600707832
tavg_z,0.00014494120878351627
heat_roll_mean_3,0.000140423722341065
tmax_max,0.00013607747248326846
tmax_mean,0.00012884536970386913
tavg_anom,0.0001254257872304104
hum_rh_avg,0.0001241547315808539
heat_roll_mean_6,0.0001222899268197589
hum_et0,0.00012206412131798898
tavg_mean,0.00011755519730452077
heat_lag_1,0.00011739088468002305
n_days,0.00011691298156253234
prcp_sum,0.00011407737521233131
wm_et0_scaled,0.00010575860069414213
wm_prcp,9.990333624327072e-05
tmin_mean,9.452075608654565e-05
heat_lag_3,8.05929622691605e-05
heat_roll_std_6,7.429513078733835e-05
tmin_min,7.409215814462074e-05
wm_rh_avg,7.24593378130667e-05
wm_rh_avg_scaled,6.917776836409677e-05
heat_roll_std_3,6.559424926158999e-05
wm_et0,6.414467054879173e-05
hum_rh_max,6.321817786692962e-05
hum_prcp,5.4420354423537926e-05
heat_lag_6,5.412986717360632e-05
tavg_max,4.153830935280343e-05
urban_pct,2.7436363390441066e-05
urb_z,2.4794948094801808e-05
pop_z,2.2691804706402177e-05
prcp_mean,2.105297745157747e-05
ndvi_monthly,9.758552373896588e-06
pop_density,8.877387951960494e-06
