,Pct_Diabetes_Positive,Pct_Diabetes_Negative,Pct_HeartDisease_Positive,Pct_HeartDisease_Negative,Pct_Stroke_Positive,Pct_Stroke_Negative,Pct_Asthma_Positive,Pct_Asthma_Negative
Pct_Diabetes_norm,1.0000000000000002,,0.6340598436304345,,0.704975440782285,,,-0.15517555319266982
Cardio_Environmental_Risk,0.9006314444771195,,0.8087776530890642,,0.7773997364109356,,,-0.137627661406583
COPD_AQI_Interaction,0.8232118424763433,,0.8060995051730039,,0.7618538868828032,,,
Pct_Stroke,0.7049754407822849,,0.6784317407394512,,,,,-0.16177482049486672
Pct_HighChol,0.7008954037025065,,0.6867718382387896,,,,,
Avg_BMI,0.6744347004310774,,,,,,,-0.10225029982767661
Avg_TotalUnhealthyDays,0.6586944725590116,,,,,,,
Pct_HeartDisease,0.6340598436304342,,,,0.6784317407394512,,,
BMI_Variance,0.619019394009328,,,,,,,
Pct_KidneyDisease,0.5801882263684934,,0.764566882369315,,0.6075921165692088,,,
