Feature,Missing_Count,Missing_Percentage,Data_Type
Pct_AnyHealthcare,52,100.0,float64
Avg_SleepHours,52,100.0,float64
Avg_HealthcareAccess_Score,52,100.0,float64
State_Unhealthy_Days_Pct,4,7.6923076923076925,float64
State_Unhealthy_Days_Pct_norm,4,7.6923076923076925,float64
Cardio_Environmental_Risk,4,7.6923076923076925,float64
COPD_AQI_Interaction,4,7.6923076923076925,float64
Asthma_AQI_Interaction,4,7.6923076923076925,float64
State_AQI_Severity,4,7.6923076923076925,float64
State_Max_AQI,4,7.6923076923076925,float64
State_Avg_AQI,4,7.6923076923076925,float64
State,3,5.769230769230769,object
Avg_HealthyDiet_Score,0,0.0,float64
Avg_CardioRisk_Score,0,0.0,float64
Avg_LifestyleRisk_Score,0,0.0,float64
FIPS,0,0.0,object
BMI_Variance,0,0.0,float64
Diabetes_HighBP_Correlation,0,0.0,float64
Pct_Diabetes_norm,0,0.0,float64
Pct_HighBP_norm,0,0.0,float64
Avg_MultiMorbidity_Index,0,0.0,float64
Avg_Age,0,0.0,float64
Avg_TotalUnhealthyDays,0,0.0,float64
Pct_KidneyDisease,0,0.0,float64
Pct_HeartDisease,0,0.0,float64
Pct_HeartAttack,0,0.0,float64
Pct_Stroke,0,0.0,float64
Pct_Asthma,0,0.0,float64
Pct_Diabetes,0,0.0,float64
Pct_COPD,0,0.0,float64
Pct_Depression,0,0.0,float64
Pct_Arthritis,0,0.0,float64
Sample_Size,0,0.0,int64
Pct_HighBP,0,0.0,float64
Pct_HighChol,0,0.0,float64
Pct_Smoker,0,0.0,float64
Pct_HeavyDrinker,0,0.0,float64
Pct_PhysicalActivity,0,0.0,float64
Pct_Obesity,0,0.0,float64
Avg_BMI,0,0.0,float64
SocioEnvironmental_Vulnerability,0,0.0,float64
